ticker,cycle,entry,window,return_k0_c0,return_k0_c0_straddle,difference,u,g,theory,wing_gap,u_bin,g_bin
SLV,37,2011-12-19,estimation,0.12466499678891524,0.06721032852202209,0.05745466826689315,1.0048628976778065,1.259888537116765,0.20340355156752798,0.23102325444459745,"(0.954, 1.099]","(1.181, 1.263]"
SLV,38,2012-01-23,estimation,0.5859620548422292,0.2785348954510534,0.30742715939117576,0.6123178907723685,1.219376945510864,0.30483856640082063,0.1983400278923679,"(0.377, 0.729]","(1.181, 1.263]"
SLV,39,2012-02-21,estimation,-0.28591624559751394,-0.3076381581259323,0.021721912528418374,1.2371495649800184,1.2064621837968985,-0.031467940554582796,0.18769226186764545,"(1.099, 2.982]","(1.181, 1.263]"
SLV,40,2012-03-19,estimation,0.2606773908856671,0.03804070778201758,0.22263668310364954,0.9217170488075047,1.2504066759315122,0.24228824023247075,0.22346883914759522,"(0.838, 0.954]","(1.181, 1.263]"
SLV,41,2012-04-23,estimation,0.4999673170786318,0.2345243365186518,0.26544298055998,0.7814248134248326,1.320035141146514,0.31884262905534877,0.27765835832461067,"(0.729, 0.838]","(1.263, 1.784]"
SLV,42,2012-05-21,estimation,0.63609330748283,0.5236988579630261,0.11239444951980393,0.6451962566545495,1.3479283229435033,0.3363681071784656,0.2985688381858108,"(0.377, 0.729]","(1.263, 1.784]"
SLV,43,2012-06-18,estimation,0.30567009279793095,0.035316056376973395,0.27035403642095757,0.9143895017626601,1.339353660649614,0.2901270791488777,0.2921871547993167,"(0.838, 0.954]","(1.263, 1.784]"
SLV,44,2012-07-23,estimation,0.6505193651495274,0.32936315393147975,0.3211562112180476,0.5624100398040653,1.2684904952645082,0.3130545625236039,0.237827607135559,"(0.377, 0.729]","(1.263, 1.784]"
SLV,45,2012-08-20,estimation,-0.39288476016780866,-0.3564514814080634,-0.03643327875974528,1.1616047131493168,1.3010124129977834,0.12446971264490148,0.2631427406053619,"(1.099, 2.982]","(1.263, 1.784]"
SLV,46,2012-09-24,estimation,0.6878140408946184,0.36594434343557647,0.3218696974590419,0.6195025562165808,1.3425431232351026,0.33363954703883336,0.29456566847538845,"(0.377, 0.729]","(1.263, 1.784]"
SLV,47,2012-10-22,estimation,0.34836201172855197,0.32599399697716636,0.022368014751385612,0.9184495637765471,1.2880192444270615,0.26352953455248185,0.2531055688958997,"(0.838, 0.954]","(1.263, 1.784]"
SLV,48,2012-11-19,estimation,0.06620685310285267,-0.05501615936689777,0.12122301246975044,1.080086347875952,1.2629937272273963,0.15641864175917153,0.233484876790222,"(0.954, 1.099]","(1.181, 1.263]"
SLV,49,2012-12-24,estimation,0.5141254804396069,0.19543106697041404,0.3186944134691929,0.7255876696612706,1.30972567859974,0.3236122980496036,0.26981770963558244,"(0.377, 0.729]","(1.263, 1.784]"
SLV,50,2013-01-22,estimation,0.30946615098635355,0.11799690732275706,0.1914692436635965,0.8918519465366556,1.226803008152343,0.24350018243464777,0.20441160528653382,"(0.838, 0.954]","(1.181, 1.263]"
SLV,52,2013-03-18,estimation,-3.3837029018497233,-0.31309348633415723,-3.070609415515566,2.623914166127791,1.32907329203047,-2.556331041183365,0.2844819264651794,"(1.099, 2.982]","(1.263, 1.784]"
