rule,ticker,entry_year,n,mean,p05,p10,p25,p50,p75,p90,p95,share_below_0.95,share_above_1
section 3,GLD,2024,12,1.0005473387959287,0.9937213295999573,0.9957915285673897,0.9981699109635799,0.9997356193495681,1.0047558873889106,1.006290348807851,1.007673659802934,0.0,0.3333333333333333
section 3,GLD,2025,7,0.9992418833341833,0.9965964554253229,0.9974351603594112,0.998840652273873,0.9992769269952432,1.0001242392489897,1.0011887870441698,1.0014587549256244,0.0,0.2857142857142857
section 3,GLD,ALL,206,0.9970493703245459,0.9865154601583453,0.9921549405885921,0.9955337845728965,0.9975507582626199,0.9993221644133754,1.000525807197635,1.0038301321043344,0.0,0.1553398058252427
section 3,SLV,2008,1,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.9902357723632182,0.0,0.0
section 3,SLV,2009,12,1.0305290500251116,1.0000006120847131,1.003380365476833,1.0130078236859135,1.0378002767252315,1.0461733855003017,1.0556091087141342,1.0568218202971702,0.0,0.9166666666666666
section 3,SLV,2010,12,1.0407269015082379,0.9915724311104823,1.007460184076571,1.0309866389694264,1.0477964846169145,1.0559262467009796,1.0728216806563942,1.0789175142008718,0.0,0.9166666666666666
section 3,SLV,2011,12,0.9978380556950227,0.9853328247034202,0.9864003871010937,0.9961949233183888,1.0009801867192794,1.0017667585441232,1.0029331979435527,1.0043846665736533,0.0,0.5833333333333334
section 3,SLV,2012,12,0.9971971004808627,0.9924889330544502,0.9927202105530369,0.9941632609048385,0.9967900551263541,0.9988543729297403,1.0029728277228531,1.0038769513298849,0.0,0.25
section 3,SLV,2013,12,1.012890627477749,0.9944824282001501,0.9951358638142629,0.9964082156407975,1.0021753377303089,1.0180284057326912,1.0546517534123114,1.0600895392709802,0.0,0.5833333333333334
section 3,SLV,2014,12,1.0062862709377554,0.9984944809970431,0.9989133918344685,1.002882771696852,1.005706216800999,1.0091907916177145,1.0123828620750377,1.0148384488372773,0.0,0.8333333333333334
section 3,SLV,2015,12,1.016084225093826,1.0054310270436022,1.0057417774334378,1.0070099408865585,1.0123277659554186,1.019547637451256,1.027149666520203,1.0388681958725758,0.0,1.0
section 3,SLV,2016,12,1.0134599200049779,1.005104356839361,1.007332156110559,1.0094708963138963,1.0135810905691653,1.0178854713935344,1.0195638542746195,1.0208657123982576,0.0,1.0
section 3,SLV,2017,12,1.035095811328265,1.0240095525925708,1.0244733503093668,1.0284684404665585,1.0332911917790835,1.0435675160510653,1.0465468748162159,1.0470861551713537,0.0,1.0
section 3,SLV,2018,12,1.0459320524239872,1.032947118050203,1.033735803754677,1.037606072356503,1.0451595383222194,1.0494214439700025,1.0623182886650226,1.0655633597820167,0.0,1.0
section 3,SLV,2019,12,1.0523415474933022,1.013715903968243,1.0198427664671998,1.0226091604558256,1.0469108797848206,1.0817548429566628,1.088216785826764,1.0944708737094713,0.0,1.0
section 3,SLV,2020,12,1.0020255265875402,0.9929042307304032,0.9934994317956732,0.9959346252435525,0.998527836165109,1.0023592020808811,1.0135910787110973,1.0234949914709632,0.0,0.3333333333333333
section 3,SLV,2021,12,0.997934138047531,0.9937514116465216,0.9939717207150116,0.9963590353534402,0.9980830590416498,0.9996650369644593,1.0002756001494952,1.0019401361922706,0.0,0.16666666666666666
section 3,SLV,2022,12,0.9997179368447319,0.9949381023414774,0.9968890994485805,0.9980265934486018,0.9994601858323947,1.0008485456900686,1.0043668835767372,1.0059289165472909,0.0,0.3333333333333333
section 3,SLV,2023,12,1.0029674297419457,0.9984546775535988,0.9988639899850424,1.0011318333633727,1.0022630063142688,1.0056919024881006,1.0067730876339116,1.0071953134930836,0.0,0.8333333333333334
section 3,SLV,2024,12,1.000629337635153,0.9965816303739771,0.9980467431368948,0.9985624794208208,0.9995223544761966,1.0015763427600335,1.0055797601301997,1.007431516250354,0.0,0.4166666666666667
section 3,SLV,2025,7,0.9983163702094048,0.9967758356496164,0.9971126811012427,0.9975831860885909,0.9976720285248553,0.9986076597779809,1.0000471537613542,1.0008845173855991,0.0,0.14285714285714285
section 3,SLV,ALL,200,1.0149916076987051,0.993384438947389,0.9957052777124262,0.9985729387542747,1.005368577543158,1.0279697718632046,1.049747109791872,1.0617881069501995,0.0,0.675
section 3,UNG,2007,8,0.9523470489913431,0.9007144476625772,0.9174619214546645,0.9486632086784013,0.9606149729899622,0.9696689712739405,0.9773398872472119,0.9813243950971655,0.25,0.0
section 3,UNG,2008,11,0.9752648072259039,0.9436093240039631,0.9457298235245141,0.9717960416358198,0.9812239272198113,0.9867796651004452,0.9890428774661137,0.9890606276969629,0.18181818181818182,0.0
section 3,UNG,2009,12,1.010667009875574,0.9727310180923086,0.9768633128549579,0.9886225194708013,0.9983509526438306,1.0209424982042337,1.066614489915931,1.0822049156499283,0.0,0.5
section 3,UNG,2010,9,1.1737574965254223,1.091176031178457,1.1087254841017264,1.1348371711442282,1.1539150745610087,1.2180031686815336,1.2594532426177039,1.269835634046988,0.0,1.0
section 3,UNG,2011,8,1.192497901318819,1.1205909023903295,1.1230560037854176,1.125721037257167,1.1340216285017588,1.1898719557010566,1.2942545910576408,1.405661839191077,0.0,1.0
section 3,UNG,2012,12,1.064940088839587,1.0055101320270259,1.008866333810495,1.0101993141090857,1.026017353544714,1.0333855611759915,1.1939394924128413,1.2843208521755174,0.0,1.0
section 3,UNG,2013,12,1.0453765001988453,1.0183562097469152,1.0288156470863574,1.0334887447678214,1.0487385721851914,1.0562627167472995,1.0638670958396534,1.066749311810904,0.0,1.0
section 3,UNG,2014,12,1.0034252773060461,0.978723129174231,0.9845006574000392,0.9865000620044876,1.0034611832066747,1.017226533627078,1.0310402290429228,1.0350627939804746,0.0,0.5
section 3,UNG,2015,12,0.9920150682155467,0.9750807138550908,0.976465754984488,0.9807160467764354,0.9829643266750336,1.0139614917912647,1.0141298169537996,1.0150803337775094,0.0,0.3333333333333333
section 3,UNG,2016,12,1.0171153225032479,0.9820566871311569,0.9919622749008524,1.0092795921869016,1.0187558981394824,1.0285944583821893,1.0441595554034888,1.0491611990965026,0.0,0.75
section 3,UNG,2017,9,1.0742160060404176,1.0308215135334218,1.0374502527788665,1.0537570485025922,1.0662497840688268,1.081738828543975,1.123713387718325,1.1380028216869886,0.0,1.0
section 3,UNG,2018,12,0.99152606607357,0.9611553677652522,0.9815668577171961,0.9909714908110666,0.9955327131848566,0.9987291910477223,1.004348282300898,1.0090632855086632,0.08333333333333333,0.16666666666666666
section 3,UNG,2019,12,0.9962866863513183,0.9858744060370104,0.9863203917237907,0.9906317131081445,0.9938851418006445,0.9978177150844357,1.0061691801903994,1.01265742338772,0.0,0.25
section 3,UNG,2020,12,0.995654155006707,0.9764121258077969,0.9907868625559928,0.992458845993131,0.9973745361649495,0.998961459167463,1.003888482598148,1.0129422258720393,0.0,0.16666666666666666
section 3,UNG,2021,12,1.0120536791704866,0.9962250680867007,0.9973078606962227,0.9986569988372065,1.0079410195059266,1.0224953233197973,1.0298600598832643,1.0353994959112143,0.0,0.6666666666666666
section 3,UNG,2022,12,0.9797600379581102,0.9408858230655041,0.9515439600855145,0.9646185813484488,0.9860539177536763,0.9982797738570467,0.9993474673319692,1.0002104761976565,0.08333333333333333,0.08333333333333333
section 3,UNG,2023,12,1.0125312644248414,0.9885322050253711,0.9982283628967712,1.007804517916151,1.0195638741626398,1.0219646592873406,1.022440872811573,1.0233794206260247,0.0,0.8333333333333334
section 3,UNG,2024,12,0.9469516239736272,0.8194690403025213,0.8309533089586086,0.9069853622020527,0.9852907488451013,0.9947078285240522,1.003806628507756,1.02258770968667,0.4166666666666667,0.16666666666666666
section 3,UNG,2025,7,0.9628694185827321,0.9018912313561123,0.9028701834656397,0.9261894751598161,0.9796261831497026,0.9868322008882757,1.006642912970394,1.0200735142785233,0.42857142857142855,0.14285714285714285
section 3,UNG,ALL,208,1.0176834292976347,0.9386992578188955,0.9653447379134795,0.9860255675370133,0.9997009122746876,1.0290041653892548,1.0864462571589961,1.1515840924866307,0.0673076923076923,0.5
section 3,USO,2007,8,0.9758890198913105,0.957379318198208,0.9616976503179387,0.9673993177425358,0.9765267348507702,0.9818429138685946,0.9910135868610742,0.9957171420351617,0.0,0.125
section 3,USO,2008,12,0.9820013828513132,0.9371222768516007,0.9646431034026293,0.9808724328104051,0.9893123717200119,0.991836085698843,0.9945341463451537,1.0080343970200378,0.08333333333333333,0.08333333333333333
section 3,USO,2009,12,0.989836316024492,0.9769568567750165,0.9815024666224721,0.9856630026744677,0.9874223655376695,0.9916843447163637,1.0061771717176906,1.008783689306346,0.0,0.16666666666666666
section 3,USO,2010,12,1.0076263184768235,0.9983842749276364,0.9989682737895986,1.0047618769604074,1.0061710992456843,1.0098659449028689,1.0158674047684717,1.0194813916556567,0.0,0.8333333333333334
section 3,USO,2011,12,1.0029065216408741,0.9946210435948278,0.9985012035558066,0.9994850691128326,1.0025401108555791,1.0051653864558774,1.0079105534497277,1.0126006608225133,0.0,0.6666666666666666
section 3,USO,2012,12,1.0059882887854539,0.9968041940898484,0.9969720269449652,0.9972739008261736,1.0091238813079615,1.0112794436286605,1.0134301837533415,1.0137324278043467,0.0,0.6666666666666666
section 3,USO,2013,12,1.0042137258262545,0.9943398057574308,0.9952678387045575,0.9969016269276967,1.0001295586141463,1.00260697817543,1.0144825179780252,1.028907903982667,0.0,0.5
section 3,USO,2014,12,1.0050837389582725,0.9920394903502051,0.9922459048909601,0.9938440497683798,1.0004061899582828,1.0103193428620876,1.023144223265927,1.0329691878905782,0.0,0.5
section 3,USO,2015,12,1.003988315870827,0.9954401637468974,0.9961714336832791,1.0008313563279345,1.0023463710863092,1.0055748704095164,1.0109138184123414,1.0158153167287123,0.0,0.75
section 3,USO,2016,12,1.0196475567401764,1.0024441037075598,1.0057924174840263,1.011082750151919,1.0163209372438413,1.0237061558009928,1.0281243211641504,1.046129687443558,0.0,0.9166666666666666
section 3,USO,2017,12,1.0563776590557057,1.0349530681234864,1.036514753095763,1.0459095648950338,1.0533356860282883,1.0637793232586394,1.0798095386434494,1.0830598396698683,0.0,1.0
section 3,USO,2018,12,1.023451143119888,1.0070626290175408,1.0099997422734852,1.01560774846659,1.0209953488152026,1.0264909625645373,1.0342211155735834,1.0480401987766934,0.0,1.0
section 3,USO,2019,12,1.01996758674575,1.0073843161582816,1.0085387446479899,1.0114253185599573,1.0174430731089665,1.0288911629311497,1.0329093370149363,1.0373793462007248,0.0,1.0
section 3,USO,2020,12,0.997483952895167,0.9782396864839433,0.9817557726040008,0.9869576175529344,0.9968334039334048,1.0051603529191617,1.018102856675788,1.0208336630804016,0.0,0.3333333333333333
section 3,USO,2021,12,0.9666899634473971,0.8781350556067535,0.8986704872754716,0.9656502699301504,0.9884971612570541,0.9954891737871703,0.9974253248235045,0.9999735856155431,0.25,0.08333333333333333
section 3,USO,2022,12,0.9914553177938266,0.9785098398763326,0.9799874035865762,0.9892869815840863,0.9923571457070224,0.9959242485387737,1.0003448665427568,1.0008069483483146,0.0,0.16666666666666666
section 3,USO,2023,12,0.985784810601683,0.9495384023750636,0.9596007863287267,0.9722656355768299,0.986140011984,1.0011485585675117,1.0080087549271817,1.0175846972985936,0.08333333333333333,0.3333333333333333
