ticker,entry_year,strip_cycles,median_puts,median_calls,min_puts,min_calls,median_span_put,median_span_call,min_span_put,min_span_call,fail_strike_count,fail_span,fail_no_sigma_atm,pass_floor,pass_floor_span_in_price
ALL,2023,48,14.0,18.0,1,6,3.096349986729541,4.467935548633324,0.5895124071384437,2.3003661149570345,11,1,0,37,37
ALL,2024,48,15.5,21.5,1,10,3.1113441287884243,4.986327745689785,0.7298941399466827,2.2984455606351735,2,1,0,46,46
ALL,2025,28,18.5,24.0,4,12,3.5068735772352833,5.220264522061645,1.4519227667700965,2.369060603899564,2,1,0,25,25
ALL,ALL,833,9.0,15.0,1,1,2.9000008132112844,3.7847766844473605,0.5289177072113873,0.8820698220183304,268,101,0,547,538
GLD,2008,7,18.0,25.0,11,18,2.4261134533722957,2.8053487166984294,1.9695102857210005,2.5675950135977383,0,0,0,7,7
GLD,2009,12,14.5,23.5,11,13,2.8350024281264363,3.6013223286340432,2.140689610612892,2.4663863950477363,0,0,0,12,12
GLD,2010,12,24.5,27.5,19,19,5.03894250325702,4.863296301955485,3.632460384090135,2.9405750546958984,0,0,0,12,12
GLD,2011,12,38.5,32.5,21,17,6.0391079793798,4.362498537503285,3.579302387000898,3.312744405798532,0,0,0,12,12
GLD,2012,12,41.0,38.5,29,21,6.970669100892455,5.6774670840443715,5.03120346560522,3.8179557000568924,0,0,0,12,12
GLD,2013,12,30.0,28.0,21,23,5.340358882583217,4.609019422779308,4.00365877497709,2.8642766425224733,0,0,0,12,12
GLD,2014,12,23.5,26.0,18,20,4.958887269565627,5.07609756602271,4.0578878670487475,4.212469667816265,0,0,0,12,12
GLD,2015,12,33.0,37.5,22,30,5.160912726872254,5.019108473880689,3.923232549871826,4.014691037585327,0,0,0,12,12
GLD,2016,12,32.5,44.5,25,36,3.9747566392381515,5.1068698620270965,2.7542043004854215,4.424114234930182,0,0,0,12,12
GLD,2017,12,26.0,29.0,20,24,5.1296909505615975,5.3432066344639795,2.7838388267707646,3.654126470230633,0,0,0,12,12
GLD,2018,12,28.5,28.5,21,23,7.035155908824491,5.616694978249599,5.199940906124199,4.771774225151877,0,0,0,12,12
GLD,2019,12,24.5,25.0,17,19,3.90966545167388,4.515764679780732,2.5829674369723414,2.6139358933735672,0,0,0,12,12
GLD,2020,12,49.0,45.0,23,35,6.913068055562917,6.50712747824798,3.998614215534879,3.4268805846422437,0,0,0,12,12
GLD,2021,12,35.5,41.0,23,34,8.276125502641417,7.447280831773831,6.234097105463194,6.14421543492357,0,0,0,12,12
GLD,2022,12,43.0,44.0,32,36,7.256607305717301,7.315388478367645,5.332520910127915,5.425907598043966,0,0,0,12,12
GLD,2023,12,39.5,37.5,28,31,6.104549845160877,6.934753228007177,5.362037205521792,4.39939102012686,0,0,0,12,12
GLD,2024,12,52.0,30.0,36,16,7.527329579980874,7.11867702897324,4.955646874741755,5.5995858890359225,0,0,0,12,12
GLD,2025,7,61.0,39.0,43,28,7.2606015219465,7.721479372193705,6.633516168724081,3.344921758341509,0,0,0,7,7
GLD,ALL,206,33.0,35.0,11,13,5.842152492994847,5.471449870969934,1.9695102857210005,2.4663863950477363,0,0,0,206,206
SLV,2008,1,1.0,4.0,1,4,0.6593462174085253,2.1056436094113167,0.6593462174085253,2.1056436094113167,1,1,0,0,0
SLV,2009,12,2.0,3.5,1,2,1.2803174334059721,2.1550098489841605,0.7815008765180212,1.3971720595932402,12,8,0,0,0
SLV,2010,12,4.0,5.5,2,3,3.173977437450091,3.377080359510412,2.0050044553260222,1.5850798729882218,10,0,0,2,2
