rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3 and rule 2 floor,ALL,2018,0,16,15335.416450701967,8227.31760234485,9247.734234207699,11545.931895280344,14795.005095910676,17228.814975555335,18651.731750367733,23975.228033313506,16,780.375,442.25,500.0,639.0,790.5,971.5,1036.5,1064.75
section 3 and rule 2 floor,ALL,2019,0,21,16593.8379158393,4786.30092322638,6237.348354824191,10471.285480508985,14125.375446227554,20183.663636815596,32734.069487883862,33113.112148259075,21,637.7619047619048,413.0,423.0,520.0,618.0,746.0,848.0,920.0
section 3 and rule 2 floor,ALL,2020,0,39,25916.63282375309,7606.09540025864,8711.91852626946,10932.385045997144,17378.00828749376,34175.503325746104,57812.06809408431,61816.13849698409,39,1055.3076923076924,543.6,565.2,646.5,969.0,1365.5,1738.2,1819.9
section 3 and rule 2 floor,ALL,2021,0,39,25896.06163417819,8492.006114924054,9018.074219216478,12592.591612527567,24266.100950824144,36099.999470755334,40748.95312206862,50938.00818703328,39,1016.3846153846154,633.9,671.4,775.0,929.0,1212.5,1502.4,1561.8
section 3 and rule 2 floor,ALL,2022,0,44,36567.08894819737,7922.148550839616,8443.180106123491,10761.904166857534,33703.87726656851,52941.817806043815,66834.39175686149,72431.32994768661,44,1061.590909090909,593.3,632.3,733.5,890.0,1109.5,1635.9000000000008,2513.1000000000013
section 3 and rule 2 floor,ALL,2023,0,37,26889.250683118622,7081.313232487179,7622.723664975822,8810.488730080147,29174.27014001166,34673.685045253165,45412.77876028717,51472.0373070586,37,875.8648648648649,506.4,569.4,665.0,728.0,989.0,1476.9999999999998,1669.0
section 3 and rule 2 floor,ALL,2024,0,46,26589.703683485277,8109.946140893619,9025.273142352622,14454.39770745928,21883.41614035285,33691.58974750497,46567.46333608788,58043.739766244325,46,821.0434782608696,512.5,544.0,595.0,659.0,897.0,1273.0,1701.75
section 3 and rule 2 floor,ALL,2025,0,25,35420.16306138288,9506.961452199012,9817.635704362623,12882.495516931323,23713.737056616552,47863.0092322638,67426.14048234501,76977.7664564884,25,833.6,518.6,561.8,636.0,720.0,1082.0,1224.0000000000002,1287.6
section 3 and rule 2 floor,ALL,ALL,0,547,25328.06616486389,7328.245331389045,8317.63771102671,11816.998911882747,20417.379446695315,33113.112148259075,49545.019080479055,60744.370389042546,547,824.290676416819,453.2,518.2,606.5,732.0,939.5,1223.2000000000003,1444.7999999999997
section 3 and rule 2 floor,GLD,2008,0,7,46356.29261395621,32734.069487883862,32734.069487883862,36971.91069880845,45708.818961487515,49831.871221603156,59048.67242063592,65746.1342140674,7,541.8571428571429,459.0,471.0,512.0,547.0,578.5,601.8,609.9
section 3 and rule 2 floor,GLD,2009,0,12,35440.85529146403,26758.043602435628,27926.108785171862,30039.454017876094,32736.238920610944,39600.120461329425,47245.40214374078,49670.65682954833,12,635.25,479.9,490.4,556.25,627.0,681.5,817.4,825.85
section 3 and rule 2 floor,GLD,2010,0,12,32279.55854067985,26334.705863137202,26669.22684626724,27702.66203491808,32367.944374971434,35509.99869195391,39631.53931302034,40228.00688162738,12,956.1666666666666,646.05,662.6,783.5,980.5,1052.0,1184.3,1299.7499999999998
section 3 and rule 2 floor,GLD,2011,0,12,41011.88371208342,24446.081242683722,25919.683213549553,28103.174906057844,41278.04886172235,46371.95513712448,61463.51241608948,65835.04763776281,12,1139.0,675.3,690.5,790.25,934.0,1297.5,2075.1000000000004,2202.75
section 3 and rule 2 floor,GLD,2012,0,12,34002.232880305826,25943.0060039476,27606.441261307922,29436.326970045815,31810.079682101183,35594.77127387191,37932.39795982224,48339.577173438476,12,1100.0833333333333,797.75,879.5,961.25,1037.5,1218.5,1402.7,1489.3999999999999
section 3 and rule 2 floor,GLD,2013,0,12,36506.21683483898,23486.0505597861,25468.91391310903,29412.307257029497,36008.81332384356,44704.439726078446,49376.81809565753,50328.522773874894,12,929.75,778.05,797.3,853.25,897.0,977.75,1089.2,1143.85
section 3 and rule 2 floor,GLD,2014,0,12,22185.91011276498,15889.630320580272,16568.713612345222,20068.80456789883,21877.616239495517,24057.77213035221,28085.774502617605,29270.38321308059,12,783.9166666666666,610.15,648.6,704.25,749.0,817.25,937.7,1055.7499999999998
section 3 and rule 2 floor,GLD,2015,0,12,20167.65240695709,14026.419091138494,15032.871974958074,15803.57661872873,17899.977619102257,22135.381311541063,23388.926990647076,31652.38074042466,12,704.3333333333334,576.2,579.9,628.5,710.0,783.5,823.7,835.6999999999999
section 3 and rule 2 floor,GLD,2016,0,12,22274.27670951161,18126.503353254422,18472.40873118387,19387.48629309346,22276.78369735356,24547.089156850336,26127.12084274347,26578.38057309571,12,718.8333333333334,576.55,579.6,615.0,674.0,812.25,922.8000000000001,948.5
section 3 and rule 2 floor,GLD,2017,0,12,15759.056852290161,11141.580716166995,11984.769598626302,13573.50586375448,15667.5107010815,17992.313416949084,19011.2335983321,20324.961256570845,12,752.5,511.05,568.7,641.75,687.0,871.75,905.8,1058.2999999999997
section 3 and rule 2 floor,GLD,2018,0,12,14614.150138012395,10012.175924385665,10306.479522956497,12667.532724242024,14795.005095910676,16741.672773675687,17358.11584590197,18433.806870638407,12,856.0833333333334,634.2,645.8,737.75,840.5,1002.25,1058.5,1065.35
section 3 and rule 2 floor,GLD,2019,0,12,19442.800985256177,9636.293148768858,10961.930485694871,13889.673431061685,17992.538528294623,23533.93915963154,32342.77363898248,33460.198707806616,12,707.1666666666666,462.6,506.2,612.25,709.5,824.0,912.8000000000001,929.0
section 3 and rule 2 floor,GLD,2020,0,12,50842.06540386352,25212.63086029828,32133.321946496257,40089.37144475189,51012.882552728195,59227.26380352808,74297.57761337011,78299.13985398957,12,1340.9166666666667,693.65,818.9,1063.25,1435.5,1646.25,1809.0,1837.05
section 3 and rule 2 floor,GLD,2021,0,12,36994.57170991621,27400.413754710517,28176.4998914355,34178.68789446385,36518.0177634093,39246.31173270752,42419.327035397924,47351.673524482045,12,1405.6666666666667,1195.8,1203.4,1232.5,1353.0,1548.25,1568.2,1683.2999999999997
section 3 and rule 2 floor,GLD,2022,0,12,46900.209067250136,27835.436036290994,29155.17863783085,32266.7620439506,38550.972687116766,66260.6065397851,67530.90696096452,72929.33420915168,12,1667.8333333333333,893.05,958.9,1138.0,1397.5,2005.5,2866.8,2907.75
section 3 and rule 2 floor,GLD,2023,0,12,36781.059356416365,22444.69939799572,23217.968438075204,28381.101512921927,33115.306701833324,37895.342077797446,49372.64621447046,63310.06841209266,12,1270.75,893.15,963.4,985.75,1155.0,1621.0,1679.5,1724.1999999999998
section 3 and rule 2 floor,GLD,2024,0,12,48058.59539722844,23647.87748449367,26295.83970508816,37084.080024991985,42660.779012817366,57710.575744558555,70273.93909686997,82362.55393267429,12,1328.1666666666667,885.5,927.4,956.5,1214.5,1525.25,1979.0,2073.35
section 3 and rule 2 floor,GLD,2025,0,7,67832.85475265034,43052.287484901295,44417.636622769045,47050.555686094915,62373.483548241915,74659.07094971041,98054.2613172708,112702.2847094685,7,1214.857142857143,1097.9,1113.8,1137.5,1143.0,1284.0,1348.4,1392.1999999999998
section 3 and rule 2 floor,GLD,ALL,0,206,33778.91833180736,13337.886200680272,15667.5107010815,21196.073022530436,31260.793671239557,41567.64173770843,57543.993733715666,68789.39720371977,206,1009.0,562.25,595.0,700.25,922.0,1197.5,1577.5,1793.0
section 3 and rule 2 floor,SLV,2010,0,2,19172.549363888596,18676.03916635465,18731.206966080645,18896.710365258627,19172.549363888596,19448.388362518563,19613.891761696545,19669.05956142254,2,808.5,791.85,793.7,799.25,808.5,817.75,823.3,825.15
section 3 and rule 2 floor,SLV,2011,0,12,23622.08645439164,14161.451432023232,15224.044518808616,18360.462559868225,24416.300685856186,26607.25059798814,31450.78104702139,34506.606296282676,12,905.0,584.9,618.5,720.5,917.0,984.0,1275.9,1299.35
section 3 and rule 2 floor,SLV,2012,0,12,13577.27631042213,8802.33775386088,9279.616859440794,11191.379380636376,12025.831628759557,15712.866006963912,18537.73499786933,20318.99618541929,12,866.6666666666666,682.05,724.7,744.5,809.5,969.75,1101.9,1157.05
section 3 and rule 2 floor,SLV,2013,0,9,10022.245677876881,7069.149154560347,7531.363829044729,7943.282347242822,9120.108393559096,11748.975549395303,13587.175959944138,14996.53684596976,9,669.7777777777778,505.8,552.6,601.0,661.0,762.0,799.0,823.0
section 3 and rule 2 floor,SLV,2014,0,9,6112.69931845558,4366.900890309245,4468.006592602566,5011.872336272725,5370.317963702527,7585.775750291836,8629.877197388967,8669.756548474887,9,585.5555555555555,455.8,486.6,509.0,548.0,626.0,754.6,785.8
section 3 and rule 2 floor,SLV,2015,0,4,7129.552996467842,5311.93689668791,5553.966710628775,6280.056152451372,7267.897760893433,8117.394604909903,8594.463470766437,8753.486426051948,4,560.5,408.4,437.8,526.0,586.0,620.5,662.8000000000001,676.9
section 3 and rule 2 floor,SLV,2016,0,2,7430.796028216092,6969.558341092035,7020.806972994708,7174.552868702727,7430.796028216092,7687.039187729457,7840.785083437476,7892.033715340149,2,591.5,526.25,533.5,555.25,591.5,627.75,649.5,656.75
section 3 and rule 2 floor,SLV,2019,0,1,6237.348354824191,6237.348354824191,6237.348354824191,6237.348354824191,6237.348354824191,6237.348354824191,6237.348354824191,6237.348354824191,1,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
section 3 and rule 2 floor,SLV,2020,0,10,13286.79703472318,7963.425161452021,8253.235429285856,8995.3480126137,12619.302187655918,16274.620459986803,18694.70237745832,20934.324438571555,10,914.1,609.65,635.3,684.75,810.5,1156.5,1298.0,1356.4999999999998
section 3 and rule 2 floor,SLV,2021,0,12,10919.374247434966,7988.299828696016,8337.011978126415,8585.298236890445,9496.525898934022,10662.51783398019,15494.307502962409,18449.145915307716,12,805.75,618.15,676.8,752.25,832.0,880.75,925.0,932.15
section 3 and rule 2 floor,SLV,2022,0,12,8847.237997585939,6821.973111760661,7612.433809872724,8201.317369795212,8560.658951934884,9523.549624533955,10959.810558317418,11208.010154468619,12,742.8333333333334,547.4,591.2,648.5,685.5,860.5,903.4,1007.6999999999998
section 3 and rule 2 floor,SLV,2023,0,12,8038.375606870606,5922.461051813908,6800.890188740738,7350.185335289138,8222.426499470712,8369.442057123071,8995.189111461628,10245.68025406065,12,654.25,483.6,557.4,623.25,678.0,703.25,726.2,772.0999999999999
section 3 and rule 2 floor,SLV,2024,0,11,10978.406425553441,6309.991608364837,6382.6348619054825,8276.609934544415,9440.608762859236,12368.789759256622,19054.607179632483,19164.928155770926,11,604.3636363636364,548.0,551.0,570.0,614.0,624.5,634.0,671.0
section 3 and rule 2 floor,SLV,2025,0,7,10668.536224489171,9070.939195793992,9229.369010250524,9606.490486208673,9885.53094656939,11352.524330270322,13139.025914988742,13551.354762774052,7,679.1428571428571,607.9,611.8,626.5,648.0,711.5,775.0,800.4999999999999
section 3 and rule 2 floor,SLV,ALL,0,115,11665.55789645308,5315.622691378651,6472.3547091736755,8082.854423356766,9332.543007969905,13567.730095902885,19544.63606945287,24135.27523416033,115,739.9739130434782,506.9,549.2,612.5,701.0,829.0,942.0,1157.4999999999998
section 3 and rule 2 floor,UNG,2007,0,3,31997.695398595068,28638.85333016848,29093.87734769241,30458.949400264206,32734.069487883862,33904.62844157033,34606.963813782204,34841.0756045195,3,450.6666666666667,370.3,378.6,403.5,445.0,495.0,525.0,535.0
section 3 and rule 2 floor,UNG,2008,0,6,32424.029341687816,23144.73533377777,25154.580269189068,29258.72567167472,32092.888655958533,35587.56635968866,40024.61909991585,42090.83191762352,6,482.6666666666667,370.0,376.0,418.0,512.5,523.0,559.5,576.75
section 3 and rule 2 floor,UNG,2012,0,2,14884.16899475876,12818.745605623371,13048.237093305082,13736.711556350212,14884.16899475876,16031.626433167308,16720.10089621244,16949.59238389415,2,517.0,458.5,465.0,484.5,517.0,549.5,569.0,575.5
section 3 and rule 2 floor,UNG,2014,0,5,13172.152154841348,9592.393957841045,10064.679522122993,11481.53621496884,12445.14611771387,16218.100973589299,16444.761834061097,16520.315454218366,5,601.8,528.2,529.4,533.0,583.0,660.0,687.6,696.8
section 3 and rule 2 floor,UNG,2015,0,1,15667.5107010815,15667.5107010815,15667.5107010815,15667.5107010815,15667.5107010815,15667.5107010815,15667.5107010815,15667.5107010815,1,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
section 3 and rule 2 floor,UNG,2018,0,3,20972.46790374712,9506.8673836201,10403.797245394193,13094.58683071647,17579.23613958693,27153.733094697676,32898.43126776413,34813.33065878627,3,552.3333333333334,437.7,438.4,440.5,444.0,610.0,709.6,742.8
section 3 and rule 2 floor,UNG,2019,0,6,16584.92081958465,10381.387620222336,10411.353573651219,11111.381056512488,13338.749575206119,17867.894690404337,26004.659309896615,29369.36439889024,6,559.3333333333334,376.5,399.0,472.25,572.0,647.75,707.0,726.5
section 3 and rule 2 floor,UNG,2020,0,7,11330.863202009836,6942.342784439373,6966.375859689384,8007.065668041151,9225.71427154763,14268.507865310447,17521.172655386817,18071.022011007735,7,587.4285714285714,484.4,492.8,526.0,567.0,593.0,697.2,764.0999999999998
section 3 and rule 2 floor,UNG,2021,0,3,35036.60175145094,14579.628584156148,16276.761651380973,21368.160853055448,29853.82618917957,46113.65486871074,55869.55207642945,59121.517812335675,3,978.6666666666666,671.0,718.0,859.0,1094.0,1156.0,1193.2,1205.6
section 3 and rule 2 floor,UNG,2022,0,8,33159.68669933621,11110.675639543895,12560.842489189648,15201.593687318342,28962.728260318803,45560.22201779661,57885.03287356266,65583.74309372655,8,816.125,593.0,614.0,707.0,839.0,910.75,972.6999999999999,1028.35
section 3 and rule 2 floor,UNG,2023,0,1,13963.683610559363,13963.683610559363,13963.683610559363,13963.683610559363,13963.683610559363,13963.683610559363,13963.683610559363,13963.683610559363,1,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0
section 3 and rule 2 floor,UNG,2024,0,11,15507.166224460334,11300.10766337313,11885.022274370189,14454.39770745928,14962.35656094436,15947.031960560093,19724.227361148533,21055.719373415955,11,634.7272727272727,464.0,483.0,532.0,627.0,707.5,828.0,866.5
section 3 and rule 2 floor,UNG,2025,0,4,17574.665257999986,13439.50155054797,13996.507584164616,15667.525685014554,16986.938680934698,18894.07825392013,21623.004193487588,22532.646173343404,4,554.25,456.45,474.9,530.25,562.0,586.0,627.4,641.1999999999999
section 3 and rule 2 floor,UNG,ALL,0,60,21146.755245236694,8995.422683348894,9617.029338063088,12809.185167183909,16311.999352792343,28431.43951948633,35975.79712303129,44513.499418521445,60,621.2166666666667,386.8,443.4,508.0,579.0,681.25,846.5000000000001,932.9499999999996
section 3 and rule 2 floor,USO,2007,0,5,28606.890609306673,17598.31692364256,18017.549975709262,19275.249131909368,28183.82931264455,31622.776601683792,40713.219117905406,43743.366623312606,5,448.6,340.8,352.6,388.0,396.0,550.0,568.0,574.0
section 3 and rule 2 floor,USO,2008,0,10,64665.890425406804,48183.93327954279,51699.50734398924,57216.5502575599,66852.10999644504,71006.5300389411,77380.17175359037,80278.27443192873,10,569.7,452.7,473.4,498.25,567.5,640.5,656.5,676.75
section 3 and rule 2 floor,USO,2009,0,12,24222.960798504126,15809.203991422968,17662.084527097195,19395.100524533795,24409.830121575287,28034.7383417022,32411.87176576187,33428.28861292639,12,517.25,364.0,392.6,451.25,507.0,610.0,635.2,675.15
section 3 and rule 2 floor,USO,2010,0,10,14940.255306739473,11297.122982619096,12594.245965238191,13452.371402732148,15405.644242777751,16548.37623878057,17620.183440757024,17804.44629602245,10,641.0,549.75,574.5,589.75,601.0,706.25,742.9,764.9499999999999
section 3 and rule 2 floor,USO,2011,0,12,20037.09994908968,15097.672602709423,16807.479815564777,17279.115346774684,19957.912722137888,22101.240908972777,24774.808042742523,25224.01310158551,12,757.8333333333334,600.0,640.1,680.0,690.0,819.25,934.6,1031.4999999999998
section 3 and rule 2 floor,USO,2012,0,12,14501.252594542932,9033.560355745323,10244.514611771387,12445.14611771387,15050.979249251195,16173.30769876922,18226.534920658185,19969.17331585225,12,728.0833333333334,533.15,544.5,594.75,724.0,815.5,927.7,977.05
section 3 and rule 2 floor,USO,2013,0,12,10074.235371705181,7090.032318871469,8156.86978712209,8711.354401673098,9828.951578063752,11548.396048575456,11748.975549395303,12891.95936546738,12,706.3333333333334,506.85,513.7,580.75,638.0,815.0,980.3000000000001,1011.0
section 3 and rule 2 floor,USO,2014,0,12,10121.515396211997,6812.617969112916,6959.303271409331,7328.245331389045,7989.271784549499,10540.46500161592,14528.161494160235,19181.286255507785,12,691.6666666666666,479.7,572.6,629.75,652.5,779.75,891.5,910.0
section 3 and rule 2 floor,USO,2015,0,11,10553.165552883407,8005.161237674159,8511.380382023759,9172.911332553362,9885.53094656939,10531.911366140941,11614.486138403414,15669.356749775972,11,697.2727272727273,550.5,600.0,643.5,689.0,785.5,827.0,835.5
section 3 and rule 2 floor,USO,2016,0,2,4789.156061020254,4640.344798695368,4656.8793833981335,4706.483137506429,4789.156061020254,4871.82898453408,4921.432738642375,4937.96732334514,2,405.5,372.65,376.3,387.25,405.5,423.75,434.7,438.35
section 3 and rule 2 floor,USO,2018,0,1,7079.457843841381,7079.457843841381,7079.457843841381,7079.457843841381,7079.457843841381,7079.457843841381,7079.457843841381,7079.457843841381,1,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0
section 3 and rule 2 floor,USO,2019,0,2,4705.055568609492,4631.934749454292,4640.059284915981,4664.432891301048,4705.055568609492,4745.678245917936,4770.051852303002,4778.176387764692,2,515.5,423.25,433.5,464.25,515.5,566.75,597.5,607.75
section 3 and rule 2 floor,USO,2020,0,10,18845.98825187076,10115.794542598982,10115.794542598982,14360.995461246754,18160.04821776208,21691.934779213258,28714.085520750697,29631.64832645289,10,1181.3,659.7,761.4,875.25,1111.5,1283.25,1780.6,1990.2999999999995
section 3 and rule 2 floor,USO,2021,0,12,27489.10391586521,18739.462107176805,19018.221961218744,21571.662569147957,24127.21507050952,30004.372252395242,39594.18748086963,44964.01876026196,12,847.1666666666666,655.35,672.8,695.75,835.5,956.25,1083.9,1098.1
section 3 and rule 2 floor,USO,2022,0,12,56225.42127899679,38463.880495074816,43734.50510818331,49403.23479457043,53402.889587110294,61900.566894792224,66834.39175686149,78755.35900213846,12,937.75,724.85,800.5,826.75,889.0,1061.75,1081.7,1183.35
section 3 and rule 2 floor,USO,2023,0,12,36925.44767544885,28218.14573010548,28644.547026453143,31180.538998557735,33115.306701833324,41929.69173031498,48856.312360447075,52848.142382236336,12,719.5,490.65,525.2,619.25,702.5,784.5,855.6,989.2999999999997
section 3 and rule 2 floor,USO,2024,0,12,29590.160460285824,21933.795664885904,22413.134554708104,25162.807492722197,28033.664056022608,33305.93801467438,36826.61218013758,40305.10773124354,12,683.3333333333334,535.35,548.8,610.75,692.0,735.0,810.9,841.0999999999999
section 3 and rule 2 floor,USO,2025,0,7,37956.52552322795,23335.883666764323,23497.82083384385,25160.493827302344,34276.778654645044,49856.82203828695,57810.52495106428,58010.42336407575,7,766.4285714285714,547.0,586.0,671.0,720.0,869.5,958.2,1007.0999999999999
section 3 and rule 2 floor,USO,ALL,0,166,25817.17194591521,7328.245331389045,8318.18895796133,12445.14611771387,21013.925853453442,32734.069487883862,53402.889587110294,64048.78110041932,166,726.8855421686746,417.75,500.5,589.75,682.0,833.5,1035.0,1103.5
