rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,SLV,2009,0,12,8238.569400954233,6572.901450955405,6696.135241400824,7564.067336050017,7897.819346671769,9068.212099931585,9922.571427154764,10321.836873569231,12,339.0833333333333,249.4,262.7,273.5,307.0,371.0,453.20000000000005,500.74999999999994
section 3,SLV,2010,0,12,9532.828943719056,5637.853587713673,5774.621579563421,6167.166624940671,7286.3024660694755,9810.34903748265,18272.345478402,19117.3815641626,12,560.3333333333334,388.8,443.2,475.75,507.0,667.75,783.1,806.65
section 3,SLV,2011,0,12,23622.08645439164,14161.451432023232,15224.044518808616,18360.462559868225,24416.300685856186,26607.25059798814,31450.78104702139,34506.606296282676,12,905.0,584.9,618.5,720.5,917.0,984.0,1275.9,1299.35
section 3,SLV,2012,0,12,13577.27631042213,8802.33775386088,9279.616859440794,11191.379380636376,12025.831628759557,15712.866006963912,18537.73499786933,20318.99618541929,12,866.6666666666666,682.05,724.7,744.5,809.5,969.75,1101.9,1157.05
section 3,SLV,2013,0,12,9584.29585172648,7097.538667362691,7525.295000620795,7762.4711662869195,8865.022957702553,10099.688282509596,12769.143520177722,14468.02651371015,12,622.6666666666666,462.3,466.2,495.75,610.5,726.75,784.5,814.0
section 3,SLV,2014,0,12,5874.98962749543,4404.815528669241,4523.7916889891785,4650.734033691173,5279.1591764960685,6574.455203691103,8507.521344690591,8654.801791817667,12,560.5833333333334,420.05,429.5,494.0,536.5,590.75,727.7,774.0999999999999
section 3,SLV,2015,0,12,5701.055440440265,3523.27717976977,3824.1070859493116,4492.845701195201,5636.835231620652,6457.835940350649,7735.464629059262,8329.42521195725,12,494.6666666666667,346.6,383.5,425.5,464.5,580.5,644.7,668.4499999999999
section 3,SLV,2016,0,12,6013.82102122724,4315.19076827765,4384.858925077157,5280.706556845076,5822.575371864261,6938.337271897704,7295.262794252413,7605.011988523243,12,522.9166666666666,407.4,421.2,443.25,513.5,588.25,651.1,658.5
section 3,SLV,2017,0,12,3571.743157805933,2858.339383584039,2924.2225744928455,3090.905180072457,3548.133892335753,3873.021790734788,4350.338993590078,4530.017742647575,12,398.5,342.0,342.1,355.0,392.0,410.25,459.6,496.84999999999997
section 3,SLV,2018,0,12,3514.4749408458906,2633.4705863137174,2666.9226846267193,2770.266203491807,3144.1785136461676,3958.418151731977,4197.985565182699,5030.848906191812,12,419.8333333333333,351.9,360.4,368.5,409.0,448.5,500.7,531.55
section 3,SLV,2019,0,12,3902.0103062891253,2037.137278320272,2180.8695528863104,3277.971713667518,3892.772193069517,4869.918233892722,5111.202646727073,5627.544371623391,12,394.9166666666667,275.0,302.1,321.75,385.5,460.75,514.6,525.85
section 3,SLV,2020,0,12,11944.534495729744,5401.730591605238,6993.840227632245,8156.632006674578,10649.450704804833,15632.123231209147,18036.89463492741,20436.63064721306,12,837.0,461.45,554.3,626.75,795.0,1003.5,1279.8,1343.5
section 3,SLV,2021,0,12,10919.374247434966,7988.299828696016,8337.011978126415,8585.298236890445,9496.525898934022,10662.51783398019,15494.307502962409,18449.145915307716,12,805.75,618.15,676.8,752.25,832.0,880.75,925.0,932.15
section 3,SLV,2022,0,12,8847.237997585939,6821.973111760661,7612.433809872724,8201.317369795212,8560.658951934884,9523.549624533955,10959.810558317418,11208.010154468619,12,742.8333333333334,547.4,591.2,648.5,685.5,860.5,903.4,1007.6999999999998
section 3,SLV,2023,0,12,8038.375606870606,5922.461051813908,6800.890188740738,7350.185335289138,8222.426499470712,8369.442057123071,8995.189111461628,10245.68025406065,12,654.25,483.6,557.4,623.25,678.0,703.25,726.2,772.0999999999999
