entry,gated,funds,cumulative,series
2019-06-24,0.08085854617720213,3,17.50228344470691,unconditional
2019-07-22,0.120920992437415,1,17.623204437144327,unconditional
2019-08-19,0.04276451750532374,2,17.66596895464965,unconditional
2019-09-23,0.23457027141860423,3,17.900539226068254,unconditional
2019-10-21,0.3436416562911983,1,18.24418088235945,unconditional
2019-11-18,0.31848406911456023,3,18.562664951474012,unconditional
2019-12-23,0.48073607352225967,2,19.04340102499627,unconditional
2020-01-21,0.09982190498636422,1,19.143222929982635,unconditional
2020-02-24,-2.4639914766701305,1,16.679231453312504,unconditional
2020-03-23,0.570570018239175,3,17.249801471551677,unconditional
2020-04-20,0.4555316512589947,3,17.70533312281067,unconditional
2020-05-18,0.5850986933040407,4,18.29043181611471,unconditional
2020-06-22,0.45393230217238295,4,18.744364118287095,unconditional
2020-07-20,-1.6411611265448134,4,17.103202991742283,unconditional
2020-08-24,0.26293724666685714,4,17.36614023840914,unconditional
2020-09-21,0.07913251460646968,4,17.44527275301561,unconditional
2020-10-19,0.24832106463461348,4,17.693593817650225,unconditional
2020-11-23,0.27148177440872956,3,17.965075592058955,unconditional
2020-12-21,0.20494333071415502,3,18.17001892277311,unconditional
2021-01-19,0.17156702237045132,3,18.34158594514356,unconditional
2021-02-22,0.20446179144452334,3,18.546047736588083,unconditional
2021-03-22,0.09243698870394616,3,18.638484725292027,unconditional
2021-04-19,0.29999661259905347,3,18.93848133789108,unconditional
2021-05-24,0.32723620071973136,3,19.26571753861081,unconditional
2021-06-21,0.6271981623018545,3,19.892915700912667,unconditional
2021-07-19,0.35545869657685175,3,20.248374397489517,unconditional
2021-08-23,0.12143518701146798,3,20.369809584500985,unconditional
2021-09-20,0.10344915950899887,4,20.473258744009982,unconditional
2021-10-18,0.38786977311456644,4,20.86112851712455,unconditional
2021-11-22,-0.11072827311351745,3,20.750400244011033,unconditional
2021-12-20,0.1730173573505418,4,20.923417601361574,unconditional
2022-01-24,0.013876208057280376,4,20.937293809418854,unconditional
2022-02-22,-0.35651781426346796,4,20.580775995155385,unconditional
2022-03-21,0.4658917218078581,4,21.046667716963242,unconditional
2022-04-18,0.04805409908452884,3,21.09472181604777,unconditional
2022-05-23,0.31432624281840976,3,21.40904805886618,unconditional
2022-06-21,-0.08161398663887212,4,21.32743407222731,unconditional
2022-07-18,0.36628208497293685,4,21.693716157200246,unconditional
2022-08-22,0.17280925585075071,3,21.866525413050997,unconditional
2022-09-19,-0.022019799382307123,4,21.84450561366869,unconditional
2022-10-24,0.06076575098284215,3,21.905271364651533,unconditional
2022-11-21,0.20799116474880847,4,22.11326252940034,unconditional
2022-12-19,0.16624732458354183,4,22.279509853983882,unconditional
2023-01-23,0.228835183909955,4,22.508345037893836,unconditional
2023-02-21,-0.554890506057259,3,21.953454531836577,unconditional
2023-03-20,0.4560175003142262,3,22.409472032150802,unconditional
2023-04-24,0.018108545691335947,3,22.42758057784214,unconditional
2023-05-22,0.22193480956343511,3,22.649515387405575,unconditional
2023-06-20,0.3009239005192544,3,22.95043928792483,unconditional
2023-07-24,0.24836170585062178,3,23.198800993775453,unconditional
2023-08-21,0.307442679922162,3,23.506243673697615,unconditional
2023-09-18,-0.7211953890958954,3,22.785048284601718,unconditional
2023-10-23,0.32142510915107064,3,23.10647339375279,unconditional
2023-11-20,-0.44211417198378405,3,22.664359221769004,unconditional
2023-12-18,0.4209070095683582,3,23.08526623133736,unconditional
2024-01-22,0.2262302282439672,3,23.311496459581328,unconditional
2024-02-20,0.05116812755703421,3,23.36266458713836,unconditional
2024-03-18,0.260484096663561,4,23.623148683801922,unconditional
2024-04-22,0.0630517845063164,4,23.68620046830824,unconditional
2024-05-20,-0.30763770850565314,4,23.378562759802588,unconditional
2024-06-24,0.12594093092017267,4,23.50450369072276,unconditional
2024-07-22,-0.2197043814979556,4,23.284799309224805,unconditional
2024-08-19,0.1639319069838317,4,23.448731216208635,unconditional
2024-09-23,0.006312211482208674,4,23.455043427690843,unconditional
2024-10-21,0.11374383789773937,4,23.568787265588583,unconditional
2024-11-18,0.23489324084406807,4,23.803680506432652,unconditional
2024-12-23,0.06835748150248086,4,23.872037987935133,unconditional
2025-01-21,0.29430687309000314,4,24.166344861025138,unconditional
2025-02-24,0.1985578465621515,4,24.36490270758729,unconditional
2025-03-24,-1.626735519978661,4,22.73816718760863,unconditional
2025-04-21,0.24489361970088064,3,22.983060807309514,unconditional
2025-05-19,0.019817210441359877,3,23.002878017750874,unconditional
2025-06-23,0.45464607929361495,4,23.457524097044487,unconditional
2025-07-21,0.24069944011717326,3,23.69822353716166,unconditional
2007-06-18,0.04995243564581328,2,0.04995243564581328,O1 gate
2007-07-23,-0.44766411004040363,1,-0.3977116743945903,O1 gate
2007-08-20,0.41462804302899314,1,0.016916368634402823,O1 gate
2007-09-24,0.09728378472048609,1,0.11420015335488891,O1 gate
2007-11-19,0.06998317224297299,2,0.18418332559786188,O1 gate
2007-12-24,0.13942228177321125,1,0.32360560737107313,O1 gate
2008-03-24,0.22738283867240006,2,0.5509884460434732,O1 gate
2008-04-21,0.18097633802008717,2,0.7319647840635604,O1 gate
2008-05-19,-0.1403680306012962,2,0.5915967534622641,O1 gate
2008-06-23,-0.13814414141634215,3,0.453452612045922,O1 gate
2008-07-21,0.02184818826986551,2,0.47530080031578753,O1 gate
2008-08-18,-0.7609517317189296,2,-0.28565093140314207,O1 gate
2008-09-22,-0.18852925431359088,3,-0.4741801857167329,O1 gate
2008-10-20,-0.21127679197318402,2,-0.685456977689917,O1 gate
2008-11-24,0.21326642938559862,3,-0.4721905483043184,O1 gate
2008-12-22,0.36585099823103906,2,-0.10633955007327933,O1 gate
2009-01-20,0.3800517416196436,2,0.2737121915463643,O1 gate
2009-02-23,0.12136890061546886,2,0.3950810921618331,O1 gate
2009-03-23,0.42121968519054087,2,0.816300777352374,O1 gate
2009-04-20,0.5395293779861171,2,1.355830155338491,O1 gate
2009-05-18,0.22656633707988488,2,1.582396492418376,O1 gate
2009-06-22,0.4591458290779607,2,2.041542321496337,O1 gate
2009-07-20,0.12394805691015297,2,2.16549037840649,O1 gate
2009-08-24,0.37642030765634155,2,2.5419106860628315,O1 gate
2009-09-21,0.22759582698956765,2,2.769506513052399,O1 gate
2009-10-19,0.2598682218714131,2,3.0293747349238123,O1 gate
2009-11-23,0.16214371186792728,2,3.1915184467917395,O1 gate
2009-12-21,0.49402737685762665,2,3.685545823649366,O1 gate
2010-01-19,-0.330278950674622,2,3.355266872974744,O1 gate
2010-02-22,0.4395650289099384,2,3.7948319018846823,O1 gate
2010-03-22,0.2517041449173585,2,4.046536046802041,O1 gate
2010-04-19,-0.403906325211251,2,3.64262972159079,O1 gate
2010-05-24,0.37716293504401865,2,4.019792656634809,O1 gate
2010-06-21,0.05671042413926818,2,4.076503080774077,O1 gate
2010-07-19,0.4694155667370595,2,4.545918647511137,O1 gate
2010-08-23,0.5112193819153276,1,5.057138029426464,O1 gate
2010-09-20,0.1339343174786005,2,5.191072346905065,O1 gate
2010-10-18,-0.10533039649626787,2,5.085741950408797,O1 gate
2010-11-22,0.37704768103072045,2,5.4627896314395175,O1 gate
2010-12-20,0.3707080726538889,3,5.833497704093406,O1 gate
2011-01-24,0.10863696722300542,3,5.942134671316412,O1 gate
2011-02-22,0.17459343207029487,3,6.1167281033867065,O1 gate
2011-03-21,0.2637040962018688,3,6.380432199588575,O1 gate
2011-04-18,-1.107842650106995,3,5.27258954948158,O1 gate
2011-05-23,0.34659800818116954,3,5.61918755766275,O1 gate
2011-06-20,0.22561338339612672,3,5.844800941058876,O1 gate
2011-07-18,-0.6128805402056304,3,5.231920400853246,O1 gate
2011-08-22,0.11120572581014408,3,5.343126126663391,O1 gate
