sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
estimation,strip,section 3,UNG,2014,12,0.06530290055439376,0.02963624582753056,0.031584870266211665,0.044299159943887466,0.05307501570192696,0.09096102583777918,0.10068247948214787,0.1084224882316226,0.0,0.0,0.01632572513859844,0.01326875392548174,0.03265145027719688,0.02653750785096348,0.048977175415795327,0.039806261776445216,0.06530290055439376,0.05307501570192696
estimation,strip,section 3,UNG,2015,12,0.11136462344455868,0.08705820755957265,0.0886510564334771,0.09702210837578773,0.1133230744167017,0.11746383009774601,0.13724692316649556,0.14051098124271433,0.0,0.0,0.02784115586113967,0.028330768604175424,0.05568231172227934,0.05666153720835085,0.08352346758341901,0.08499230581252627,0.11136462344455868,0.1133230744167017
estimation,strip,section 3,UNG,2016,12,0.11471313771581826,0.08356039806412528,0.08550524843156412,0.10487174269520412,0.11536755640805538,0.129588951005907,0.13329443659017684,0.13739491920762248,0.0,0.0,0.028678284428954565,0.028841889102013844,0.05735656885790913,0.05768377820402769,0.0860348532868637,0.08652566730604153,0.11471313771581826,0.11536755640805538
estimation,strip,section 3,UNG,2017,9,0.07752245474779003,0.060077460425456926,0.061018111275438325,0.06486755560664939,0.0805820977805385,0.08691590644801016,0.09391609393922329,0.09943126720969167,0.0,0.0,0.019380613686947507,0.020145524445134625,0.038761227373895014,0.04029104889026925,0.058141841060842525,0.06043657333540388,0.07752245474779003,0.0805820977805385
estimation,strip,section 3,UNG,2018,12,0.07254142901930506,0.05450995312312087,0.05501186575748894,0.060416423522634904,0.06566671735531088,0.07862025625453106,0.0936254997203938,0.10820692412109469,0.0,0.0,0.018135357254826266,0.01641667933882772,0.03627071450965253,0.03283335867765544,0.0544060717644788,0.04925003801648316,0.07254142901930506,0.06566671735531088
estimation,strip,section 3,UNG,2019,12,0.07631566092726828,0.042706929235732514,0.04569316333195266,0.0691511098722103,0.07609895979823453,0.08813422496197365,0.10154321515515036,0.10516288749965236,0.0,0.0,0.01907891523181707,0.019024739949558632,0.03815783046363414,0.038049479899117264,0.057236745695451216,0.057074219848675896,0.07631566092726828,0.07609895979823453
estimation,strip,section 3,UNG,2020,12,0.03768652923481265,0.025639432270664595,0.028465697755693603,0.029519606732971524,0.03242177774231765,0.0454793384743604,0.054373135650294835,0.05477790470860254,0.0,0.0,0.009421632308703163,0.008105444435579413,0.018843264617406326,0.016210888871158825,0.02826489692610949,0.024316333306738238,0.03768652923481265,0.03242177774231765
estimation,strip,section 3,UNG,2021,12,0.058402074431450984,0.03390697006998836,0.03947097771075074,0.04536875406413102,0.059850368119956136,0.06696587747655032,0.07808113514380753,0.0888280478404991,0.0,0.0,0.014600518607862746,0.014962592029989034,0.029201037215725492,0.029925184059978068,0.04380155582358824,0.0448877760899671,0.058402074431450984,0.059850368119956136
estimation,strip,section 3,UNG,ALL,165,0.06970650777632029,0.023296078118101946,0.02674156264327548,0.0339634424878107,0.06631238216910681,0.09574536616245526,0.11722260919342505,0.1323931596272755,0.0,0.0,0.01742662694408007,0.016578095542276704,0.03485325388816014,0.03315619108455341,0.052279880832240215,0.04973428662683011,0.06970650777632029,0.06631238216910681
estimation,strip,section 3,USO,2007,8,0.1194690178769008,0.08500829861554247,0.08976627321515347,0.09845288410915864,0.11883301002752854,0.13457913954309456,0.153497493484234,0.15961147093122782,0.0,0.0,0.0298672544692252,0.029708252506882134,0.0597345089384504,0.05941650501376427,0.0896017634076756,0.0891247575206464,0.1194690178769008,0.11883301002752854
estimation,strip,section 3,USO,2008,12,0.0665858265435743,0.04292904555106721,0.043702612840613095,0.04834205903990059,0.05508597377735004,0.07439532805402359,0.08827008019061892,0.1209081638171047,0.0,0.0,0.016646456635893574,0.01377149344433751,0.03329291327178715,0.02754298688867502,0.04993936990768072,0.041314480333012535,0.0665858265435743,0.05508597377735004
estimation,strip,section 3,USO,2009,12,0.05669249256941334,0.04084899291761096,0.05203669043915248,0.05550091152004413,0.05939216697435719,0.06170578452385008,0.0630023330501254,0.06461949476226857,0.0,0.0,0.014173123142353335,0.014848041743589297,0.02834624628470667,0.029696083487178594,0.04251936942706001,0.044544125230767895,0.05669249256941334,0.05939216697435719
estimation,strip,section 3,USO,2010,12,0.02891063810664307,0.024468164847314143,0.02534279241259918,0.026243234587926437,0.027230029908144104,0.029888113609787506,0.03250872810340375,0.03700767277642805,0.0,0.0,0.007227659526660767,0.006807507477036026,0.014455319053321534,0.013615014954072052,0.0216829785799823,0.02042252243110808,0.02891063810664307,0.027230029908144104
