sample,arm,unit,c_bps,n,mean_k0,mean_k1,breakeven_k,boot_ci_low,boot_ci_high,outcome
estimation,straddle,SLV,2.0,157,0.04369331547985981,0.02742890117243911,2.686436452859208,0.07107696215308555,5.425876548351414,survives the full quoted half-spread
estimation,straddle,USO,2.0,175,0.0071688632958566145,-0.009569018431072118,0.42830170584387584,-1.766179245021236,2.866563775875678,breaks even inside the grid
estimation,straddle,UNG,2.0,168,0.02972209031821239,0.000431266257817246,1.0147235959264242,-0.08240959588627969,2.1025076551740898,survives the full quoted half-spread
estimation,straddle,POOLED,2.0,176,0.02179235402364295,0.0026755579394664277,1.1399584913541583,-0.05939753783064637,2.4688145055207302,survives the full quoted half-spread
estimation,straddle,GLD,5.0,163,-0.009190252894394478,-0.018268980536637048,-1.0122842381164725,-5.524792423838061,2.9620300807410214,negative at mid
estimation,straddle,SLV,5.0,157,0.02895772060643882,0.01269330629901861,1.7804342695099462,-0.8755823830702076,4.468836727286604,survives the full quoted half-spread
estimation,straddle,USO,5.0,175,-0.005640668672464843,-0.02237855039939337,-0.33700015118340365,-2.57642875779075,2.0496988315388704,negative at mid
estimation,straddle,UNG,5.0,168,0.019781879568932906,-0.009508944491462465,0.6753609774905694,-0.42674642826064246,1.738938570570368,breaks even inside the grid
estimation,straddle,POOLED,5.0,176,0.006379593954773701,-0.012737202129402653,0.3337166922052548,-0.857334021374002,1.5722343906511271,breaks even inside the grid
estimation,straddle,GLD,10.0,163,-0.05154899208773485,-0.060627719729978616,-5.677997415394956,-11.081153706972273,-1.1274137848442116,negative at mid
estimation,straddle,SLV,10.0,157,0.004398395817405127,-0.011866018490014795,0.27043063059446004,-2.527020478321217,2.8447495008966466,breaks even inside the grid
estimation,straddle,USO,10.0,175,-0.02698988861966865,-0.0437277703465973,-1.6125032462289488,-3.9733639958767104,0.7337951669977941,negative at mid
estimation,straddle,UNG,10.0,168,0.0032148616534670225,-0.026075962406928062,0.10975661343082266,-1.0008098505074423,1.1401613149795928,breaks even inside the grid
estimation,straddle,POOLED,10.0,176,-0.019308339493341528,-0.0384251355775181,-1.0100196397095798,-2.266901008389116,0.16182546431486813,negative at mid
full,strip,GLD,0.0,206,0.15607927163051802,0.12413730703445636,4.886339134248558,2.442107639988604,7.061820466012836,survives the full quoted half-spread
full,strip,SLV,0.0,115,0.13550878469441316,0.095394568994169,3.3780738904883627,0.5156414653947518,5.885325340754823,survives the full quoted half-spread
full,strip,USO,0.0,165,0.19350902513884052,0.11911733381081029,2.6012182501075594,1.641796358611173,3.8879478557890117,survives the full quoted half-spread
full,strip,UNG,0.0,60,0.09381574088781001,0.002694589348771306,1.0295715023708505,0.031283598189205376,2.12580257203278,survives the full quoted half-spread
full,strip,POOLED,0.0,215,0.15607469257981127,0.10591756163108873,3.1117149172541807,1.9693862522274321,4.353361884914981,survives the full quoted half-spread
full,strip,GLD,2.0,206,0.12801747280669257,0.09607550821063057,4.0078146233521075,1.5242408868670476,6.167414551910402,survives the full quoted half-spread
full,strip,SLV,2.0,115,0.12198411144456645,0.08186989574432262,3.0409197666009704,0.16592918286767555,5.562566815609374,survives the full quoted half-spread
full,strip,USO,2.0,165,0.18044179557467263,0.10605010424664142,2.425563827807221,1.4915936284496933,3.6737109027487427,survives the full quoted half-spread
full,strip,UNG,2.0,60,0.08524104880237954,-0.0058801027366586585,0.9354693982972823,-0.06685365681231561,2.0245433051651656,breaks even inside the grid
full,strip,POOLED,2.0,215,0.13530286099604255,0.08514573004732036,2.697579754598973,1.5856931728870824,3.90106550199178,survives the full quoted half-spread
full,strip,GLD,5.0,206,0.08592477457095357,0.05398280997489061,2.6900278570074025,0.12339497406168046,4.869983279918404,survives the full quoted half-spread
full,strip,SLV,5.0,115,0.1016971015697956,0.06158288586955177,2.5351885807698205,-0.37939567718539374,5.078494873348994,survives the full quoted half-spread
full,strip,USO,5.0,165,0.16084095122841915,0.08644925990038836,2.1620821943567545,1.257110782424914,3.3632694902233355,survives the full quoted half-spread
full,strip,UNG,5.0,60,0.07237901067423454,-0.01874214086480395,0.7943162421869265,-0.23992915902127973,1.867563966715591,breaks even inside the grid
full,strip,POOLED,5.0,215,0.1041451136203889,0.053987982671666185,2.076377010616095,0.9769602346352148,3.2271158460802565,survives the full quoted half-spread
full,strip,GLD,10.0,206,0.01577027751139016,-0.016171687084670403,0.4937165797665158,-2.261075143556498,2.7944957719591574,breaks even inside the grid
full,strip,SLV,10.0,115,0.06788541844517788,0.0277712027449333,1.6923032710512145,-1.2645111052297264,4.2792400696616655,survives the full quoted half-spread
full,strip,USO,10.0,165,0.12817287731799626,0.05378118598996646,1.722946138605971,0.8600431696765615,2.8490512379564716,survives the full quoted half-spread
full,strip,UNG,10.0,60,0.05094228046066043,-0.04017887107837818,0.5590609820030147,-0.5092911425131429,1.6189479956091457,breaks even inside the grid
full,strip,POOLED,10.0,215,0.05221553466096802,0.002058403712246703,1.041039103978079,-0.09530213031589056,2.158479428363284,survives the full quoted half-spread
full,straddle,GLD,0.0,206,0.020121935698851328,0.011063261432411101,2.221289242444371,-1.5830424570121506,5.856916157413696,survives the full quoted half-spread
full,straddle,SLV,0.0,200,0.03443582409811134,0.01986867567252419,2.363937202536148,-0.25859450758761976,5.016722251523363,survives the full quoted half-spread
full,straddle,USO,0.0,218,0.02944701899497531,0.010450957159348894,1.5501644103804981,-0.2137501092806511,3.5012543958125812,survives the full quoted half-spread
full,straddle,UNG,0.0,210,0.03321901022191539,0.0054993087106845985,1.1983898963867459,0.1693330121306291,2.278009544017722,survives the full quoted half-spread
full,straddle,POOLED,0.0,219,0.027818676874124055,0.009179216730349564,1.4924615122726819,0.3964188458501358,2.701735948814019,survives the full quoted half-spread
full,straddle,GLD,2.0,206,0.0028626502649407373,-0.0061960240014999795,0.31601205438480945,-3.5678952995518,3.926881787872727,breaks even inside the grid
full,straddle,SLV,2.0,200,0.024539221380983457,0.009972072955395579,1.6845590272066677,-0.9990796686399491,4.286364357564242,survives the full quoted half-spread
full,straddle,USO,2.0,218,0.02089948607352409,0.0019034242378978769,1.1002009918881235,-0.6572579466515593,3.0184461234261937,survives the full quoted half-spread
