window,ticker,arm,entry,expiration,excluded_by,truncated,return_k0_c0,return_primary,rv,k_strip,sigma_atm_squared
March 2020,USO,strip,2020-02-24,2020-03-20,rule 2 floor,False,-5.206988137766527,-5.243357854739914,2.734144120449401,0.17439653175194894,0.16028292496225002
March 2020,USO,strip,2020-03-23,2020-04-17,,False,0.6672654080382173,0.6205355810924567,1.1926238285684807,4.157775908061204,3.10923570650625
April 2020,GLD,straddle,2020-03-23,2020-04-17,,False,0.10915999343201155,0.09698903869731078,0.08913547649781237,0.17943722485985283,0.143214562969
April 2020,GLD,straddle,2020-04-20,2020-05-15,,False,0.41716756340607886,0.3978932739892427,0.02295870763107416,0.08005785426469393,0.059024945450250006
April 2020,GLD,strip,2020-03-23,2020-04-17,,False,0.49125737445122913,0.4664220957788949,0.08913547649781237,0.17943722485985283,0.143214562969
April 2020,GLD,strip,2020-04-20,2020-05-15,,False,0.6757853346998447,0.6496923527618663,0.02295870763107416,0.08005785426469393,0.059024945450250006
April 2020,SLV,straddle,2020-03-23,2020-04-17,,False,0.3517122328917128,0.3394050828912623,0.16540967180102997,0.6267904562844081,0.5422694957102501
April 2020,SLV,straddle,2020-04-20,2020-05-15,,False,0.33220119775015994,0.32089610033926447,0.06946657448161134,0.19581344633458822,0.14286888039999998
April 2020,SLV,strip,2020-03-23,2020-04-17,,False,0.6496185822499345,0.6247523778461734,0.16540967180102997,0.6267904562844081,0.5422694957102501
April 2020,SLV,strip,2020-04-20,2020-05-15,,False,0.5816640084079844,0.5517525765299632,0.06946657448161134,0.19581344633458822,0.14286888039999998
April 2020,UNG,straddle,2020-03-23,2020-04-17,,False,0.10543801994634833,0.08970833753882165,0.43383678768855055,0.6144486484324237,0.6336454523422499
April 2020,UNG,straddle,2020-04-20,2020-05-15,,False,0.035576124224238684,0.024809571122097515,0.43119859839423774,0.5888426809056216,0.567002976016
April 2020,UNG,strip,2020-03-23,2020-04-17,rule 2 floor,False,0.2891469797503455,0.2561113173796583,0.43383678768855055,0.6144486484324237,0.6336454523422499
