arm,entry_year,holdout,cycles,half_spread_share_median,half_spread_share_mean,mean_k0_c0,mean_k1_c0,breakeven_k_c0,mean_k0_c2,mean_k1_c2,breakeven_k_c2
straddle,2022,True,48,0.012470068725316419,0.013793950533573825,0.026414527830932778,0.01260164037035337,1.9123103627910663,0.017747366128774564,0.003934478668194673,1.284841144143333
straddle,2023,True,48,0.011834733893557433,0.013030708863864378,0.03773222969670848,0.024654624332255414,2.885255262348752,0.025991522563599878,0.012913917199145189,1.9874833227683708
straddle,2024,True,47,0.012987012987012941,0.01786908557936113,-0.004534555354748387,-0.022336566913676078,-0.2547215150230768,-0.01622636170263307,-0.0340283732615607,-0.9114903475329802
straddle,2025,True,28,0.01528960867482267,0.025798863511190772,-0.03813443050715069,-0.06401666023058679,-1.4733827384516394,-0.04766180359890014,-0.07354403332233676,-1.841487542154913
strip,2007,False,8,0.1163092044843694,0.11297395930674384,0.1270684262244898,0.0068756215064308445,1.0572049343765566,0.11403067025420666,-0.0061621344638515775,0.9487312532700574
strip,2008,False,23,0.0649545245253124,0.06864118360325641,0.0021237418809134214,-0.06669440687946973,0.030860200676249595,-0.008585441364244883,-0.07740359012462793,-0.12475548265819257
strip,2009,False,24,0.061340384198574203,0.06138744875811441,0.3588190018972109,0.2974170050473044,5.843767634696351,0.34669144623517506,0.2852894493852665,5.6462568649457765
strip,2010,False,24,0.028277695585000415,0.031548487296882546,0.23275147863500126,0.20168002586567982,7.490846352212074,0.2155554029082152,0.18448395013889476,6.937409863276554
strip,2011,False,36,0.024377591963123578,0.02842060966051881,0.07264823293374635,0.04422294391203214,2.5557605721528467,0.05745567033510296,0.02903038131338904,2.0212871113188293
strip,2012,False,38,0.03363084635898846,0.03537113891702579,0.3081242796696369,0.272625821531331,8.679934166975675,0.2915127172150737,0.2560142590767669,8.211982505811957
strip,2013,False,33,0.035416698510274174,0.03824197094141078,-0.00858047017372736,-0.04672187135673936,-0.22496473405777923,-0.029991613276375884,-0.06813301445938728,-0.7863269923532457
strip,2014,False,38,0.05509421582435764,0.05907588368418771,0.1723405472444096,0.11353349472930252,2.9306101882956415,0.15179917132152862,0.09299211880642057,2.5813089558013482
strip,2015,False,28,0.04354995680405901,0.046279853423961216,0.24462970157837285,0.199260932393999,5.392028612991985,0.226342909817283,0.18097414063290715,4.988958569659219
strip,2016,False,16,0.032949637033715784,0.03444187127829414,0.2189410585760415,0.1844919239416237,6.355487907011158,0.19388097715778227,0.15943184252336698,5.628036210932619
strip,2017,False,12,0.030162147241827277,0.02923259429334955,0.29745923851602546,0.26820147154823254,10.166846938232501,0.2591833437176136,0.22992557674983014,8.858616722288055
strip,2018,False,16,0.03759758615568011,0.04574572845967927,0.0990886834734237,0.05682449249976552,2.3445068080253155,0.06486065144108827,0.02259646046743423,1.5346478885995958
strip,2019,False,21,0.03453853712191792,0.04227038382049471,0.15857206914976862,0.1207253256152276,4.189847113399519,0.12313701669976147,0.08529027316522408,3.2535696654427264
strip,2020,False,38,0.03236328985061995,0.034944467699667,0.1792338602519861,0.14329952513015437,4.9878162388231715,0.16704591450697745,0.13111157938514587,4.648643531058132
strip,2021,False,39,0.03977840263952606,0.046109166170795884,0.26753535476431484,0.2226643639085726,5.962323310943285,0.2518853853102418,0.20701439445450107,5.613546313698485
strip,2022,True,44,0.04403006748607265,0.057396428050448194,0.15676585499423432,0.10009747859080553,2.7663727980875947,0.14134187592024072,0.08467349951681065,2.4941931442328293
strip,2023,True,37,0.0408338924677071,0.0559131287077399,0.11630950675490175,0.060017925546848094,2.0661971871961082,0.09529215538348358,0.03900057417542846,1.692831385057054
strip,2024,True,46,0.06094735220665363,0.08396339944443387,0.12559515999867257,0.04233369880096474,1.508442900136494,0.10719504364866855,0.02393358245095895,1.2874509059374677
strip,2025,True,25,0.03665200681096786,0.11605243934859988,0.04925590797370949,-0.06355690309461501,0.4366162628806218,0.03157576970938243,-0.08123704135894556,0.2798952478035296
