ticker,bucket,cycle_day,mid,unclassified,zero bid,carried,leg_days,share_mid,share_zero_bid,share_carried,share_unclassified
GLD,-2 to -1,1,1595,1,3,0,1599,0.9974984365228268,0.001876172607879925,0.0,0.0006253908692933083
GLD,-2 to -1,2,1598,0,1,0,1599,0.9993746091307066,0.0006253908692933083,0.0,0.0
GLD,-2 to -1,3,1595,0,4,0,1599,0.9974984365228268,0.0025015634771732333,0.0,0.0
GLD,-2 to -1,4,1587,0,12,0,1599,0.9924953095684803,0.0075046904315197,0.0,0.0
GLD,-2 to -1,5,1586,1,12,0,1599,0.991869918699187,0.0075046904315197,0.0,0.0006253908692933083
GLD,-2 to -1,6,1587,0,12,0,1599,0.9924953095684803,0.0075046904315197,0.0,0.0
GLD,-2 to -1,7,1567,0,32,0,1599,0.9799874921826142,0.020012507817385866,0.0,0.0
GLD,-2 to -1,8,1565,0,34,0,1599,0.9787367104440275,0.021263289555972485,0.0,0.0
GLD,-2 to -1,9,1534,1,64,0,1599,0.959349593495935,0.04002501563477173,0.0,0.0006253908692933083
GLD,-2 to -1,10,1530,0,69,0,1599,0.9568480300187617,0.043151969981238276,0.0,0.0
GLD,-2 to -1,11,1505,0,94,0,1599,0.941213258286429,0.058786741713570984,0.0,0.0
GLD,-2 to -1,12,1458,0,141,0,1599,0.9118198874296435,0.08818011257035648,0.0,0.0
GLD,-2 to -1,13,1376,3,220,0,1599,0.8605378361475923,0.13758599124452783,0.0,0.001876172607879925
GLD,-2 to -1,14,1317,6,276,0,1599,0.8236397748592871,0.1726078799249531,0.0,0.00375234521575985
GLD,-2 to -1,15,1206,1,392,0,1599,0.7542213883677298,0.24515322076297685,0.0,0.0006253908692933083
GLD,-2 to -1,16,1060,7,523,0,1590,0.6666666666666666,0.3289308176100629,0.0,0.00440251572327044
GLD,-2 to -1,17,832,7,675,0,1514,0.5495376486129459,0.44583883751651254,0.0,0.004623513870541612
GLD,-2 to -1,18,594,7,415,0,1016,0.5846456692913385,0.40846456692913385,0.0,0.006889763779527559
GLD,-2 to -1,19,377,6,176,0,559,0.6744186046511628,0.3148479427549195,0.0,0.01073345259391771
GLD,-2 to -1,20,317,1,241,0,559,0.5670840787119857,0.43112701252236135,0.0,0.0017889087656529517
GLD,-2 to -1,21,249,0,264,0,513,0.4853801169590643,0.5146198830409356,0.0,0.0
GLD,-2 to -1,22,168,0,235,0,403,0.41687344913151364,0.5831265508684863,0.0,0.0
GLD,-2 to -1,23,71,0,128,0,199,0.35678391959798994,0.6432160804020101,0.0,0.0
GLD,-1 to 0,0,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,-1 to 0,1,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,-1 to 0,2,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,-1 to 0,3,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,-1 to 0,4,2062,1,0,0,2063,0.9995152690256908,0.0,0.0,0.0004847309743092584
GLD,-1 to 0,5,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,-1 to 0,6,2062,0,1,0,2063,0.9995152690256908,0.0004847309743092584,0.0,0.0
GLD,-1 to 0,7,2060,1,2,0,2063,0.9985458070770722,0.0009694619486185168,0.0,0.0004847309743092584
GLD,-1 to 0,8,2061,0,2,0,2063,0.9990305380513815,0.0009694619486185168,0.0,0.0
