ticker,arm,entry_year,leg_days,absent_share,delta_null_share,share_opprcd_delta,share_black_scholes_own_iv,share_black_scholes_prior_iv,share_carried
ALL,strip,2014,29414,0.0,0.007411436730808458,0.9925885632691915,0.0,0.005643571088597267,0.001767865642211192
ALL,strip,2015,30274,0.0,0.007101803527779613,0.9928981964722204,0.0,0.005813569399484706,0.0012882341282949065
ALL,strip,2016,28476,0.0,0.00695322376738306,0.993046776232617,0.0,0.005864587722994803,0.0010886360443882568
ALL,strip,2017,19428,0.0,0.0074119827053736875,0.9925880172946263,0.0,0.00509573810994441,0.0023162445954292774
ALL,strip,2018,25100,0.0,0.009601593625498008,0.9903984063745019,0.0,0.007171314741035857,0.002430278884462151
ALL,strip,2019,24072,0.0,0.014456630109670987,0.985543369890329,0.0,0.009388501163177135,0.005068128946493852
ALL,strip,2020,44643,0.0,0.020495934413009877,0.9795040655869901,0.0,0.00931837018121542,0.011177564231794458
ALL,strip,2021,45389,0.0,0.013108903038181057,0.986891096961819,0.0,0.0081737866002776,0.004935116437903456
ALL,strip,2022,51790,0.0,0.01343888781618073,0.9865611121838193,0.0,0.008553774860011585,0.004885112956169144
ALL,strip,2023,39712,0.0,0.008964544721998388,0.9910354552780016,0.0,0.005539887187751813,0.003424657534246575
ALL,strip,2024,45525,0.0,0.012586490939044482,0.9874135090609555,0.0,0.005908841295991214,0.006677649643053268
ALL,strip,2025,30926,0.0,0.008698182758843691,0.9913018172411563,0.0,0.005173640302657958,0.0035245424561857336
ALL,strip,ALL,588023,0.0,0.010853316962091618,0.9891466830379084,0.0,0.0067888500959996465,0.0040644668660919725
GLD,straddle,2008,276,0.0,0.03985507246376811,0.9601449275362319,0.0,0.021739130434782608,0.018115942028985508
GLD,straddle,2009,478,0.0,0.027196652719665274,0.9728033472803347,0.0,0.01882845188284519,0.008368200836820083
GLD,straddle,2010,488,0.0,0.018442622950819672,0.9815573770491803,0.0,0.014344262295081968,0.004098360655737705
